GR  Number,Branch ?,CPI,ML/DL/DA,AI/BC/DM,VLSI/SP/Comm,IP/Embed,IoT/Android/commn,Research,TOM/MECH,GEARS/GT,Internship,Company Class
141828,Comp,8.39,-1,-1,-1,1,1,-1,-1,-1,ML/AI,D
141305,Comp,8.41,-1,-1,-1,1,1,-1,-1,-1,RS,D
141041,Comp,8.32,1,-1,-1,1,1,-1,-1,-1,OT,D
141335,Comp,8.78,1,-1,-1,-1,1,-1,-1,-1,OT,D
141357,Comp,8.7,1,-1,1,-1,1,-1,-1,-1,OT,D
141798,Comp,8.3,1,-1,-1,1,1,-1,-1,-1,OT,D
141438,Comp,7.75,1,1,-1,1,1,1,-1,-1,ML/AI,D
141284,Comp,8.8,1,-1,-1,-1,1,-1,-1,-1,OT,D
141066,Comp,7.5,1,1,-1,1,1,-1,-1,-1,WB/SB,D
152052,Comp,8.39,-1,-1,-1,1,1,-1,-1,-1,WB/SB,D
152125,Comp,8.56,-1,-1,-1,-1,1,-1,-1,-1,OT,D
141222,Comp,8.32,1,-1,-1,1,1,1,-1,-1,RS,D
141303,Comp,9.27,1,-1,-1,-1,1,-1,-1,-1,ML/AI,D
152070,Comp,8.3,1,-1,-1,-1,1,-1,-1,-1,OT,D
142132,Comp,8.5,1,-1,-1,-1,1,-1,-1,-1,OT,D
141655,Comp,7.92,1,-1,-1,-1,-1,-1,-1,-1,OT,D
152009,Comp,9.02,1,-1,-1,-1,1,-1,-1,-1,AND/IOT,D
141440,Comp,8.34,1,-1,-1,1,1,-1,-1,-1,WB/SB,D
141772,Comp,7.92,1,-1,-1,-1,-1,-1,-1,-1,AND/IOT,D
152094,Comp,8.6,1,-1,-1,1,1,-1,-1,-1,OT,D
141651,Comp,8.4,-1,1,-1,1,-1,-1,-1,-1,OT,D
141326,Comp,8.5,-1,-1,-1,1,1,-1,-1,-1,OT,D
152029,Comp,8.34,1,-1,-1,1,1,-1,-1,-1,RS,D
141284,Comp,8.4,1,-1,-1,-1,1,-1,-1,-1,ML/AI,D
141682,Comp,8.48,-1,-1,-1,-1,1,-1,-1,-1,AND/IOT,D
152072,Electronics and telecommunication,7,1,1,-1,1,1,1,-1,-1,WB/SB,D
141057,Electronics and telecommunication,9.4,1,-1,-1,1,1,-1,-1,-1,ML/AI,D
141249,Electronics and telecommunication,8.48,-1,-1,-1,1,1,-1,-1,-1,EM/SP/CM,D
141658,Electronics and telecommunication,8.7,-1,-1,-1,1,1,-1,-1,-1,EM/SP/CM,D
152133,Electronics and telecommunication,9.33,1,-1,-1,1,1,-1,-1,-1,EM/SP/CM,D
141821,Electronics and telecommunication,8.42,-1,-1,1,1,1,-1,-1,-1,OT,D
141414,Electronics and telecommunication,7.2,1,1,-1,1,1,-1,-1,-1,OT,D
152105,Electronics and telecommunication,8.76,-1,-1,-1,1,-1,-1,-1,-1,EM/SP/CM,D
152058,Electronics and telecommunication,8.8,-1,-1,1,1,-1,-1,-1,-1,EM/SP/CM,D
141306,Electronics and telecommunication,8.8,1,-1,1,1,-1,-1,-1,-1,EM/SP/CM,D
141028,Electronics and telecommunication,8.42,-1,-1,-1,1,-1,-1,-1,-1,ML/AI,D
141319,Electronics and telecommunication,8.56,-1,-1,-1,1,1,-1,1,-1,EM/SP/CM,D
141624,Electronics and telecommunication,8.42,1,-1,-1,-1,1,-1,-1,-1,ML/AI,D
152146,Electronics and telecommunication,8.8,1,-1,-1,1,1,-1,-1,-1,EM/SP/CM,D
141224,Electronics and telecommunication,8.52,-1,-1,-1,1,1,-1,-1,-1,EM/SP/CM,D
141167,Electronics and telecommunication,8.44,-1,-1,1,1,1,-1,-1,-1,EM/SP/CM,D
141353,Electronics and telecommunication,8.8,1,-1,-1,1,1,-1,-1,-1,EM/SP/CM,D
141607,Electronics and telecommunication,8.62,-1,-1,-1,1,-1,-1,-1,-1,EM/SP/CM,D
141226,Electronics and telecommunication,8.42,1,-1,1,1,-1,-1,-1,-1,ML/AI,D
152103,Electronics and telecommunication,8.6,-1,-1,1,1,1,-1,-1,-1,MECH,D
141539,Electronics and telecommunication,8.78,-1,1,-1,1,1,-1,-1,-1,ML/AI,D
152105,Electronics and telecommunication,8.72,1,-1,-1,1,1,1,-1,-1,EM/SP/CM,D
141394,Electronics and telecommunication,8.44,-1,-1,-1,1,1,-1,-1,-1,EM/SP/CM,D
141119,Electronics and telecommunication,8.06,-1,-1,1,1,-1,1,-1,-1,EM/SP/CM,D
141626,Electronics and telecommunication,8.44,-1,-1,-1,1,1,-1,-1,-1,EM/SP/CM,D
131185,Electronics and telecommunication,8.78,-1,-1,1,1,-1,-1,-1,-1,OT,D
141499,Electronics and telecommunication,8.5,-1,-1,1,1,1,-1,-1,-1,EM/SP/CM,D
141019,Comp,7.42,-1,1,-1,1,1,-1,-1,-1,OT,E
141582,Comp,6.4,-1,-1,-1,-1,1,-1,-1,-1,WB/SB,E
141099,Comp,7.92,1,-1,-1,1,1,-1,-1,-1,AND/IOT,E
141258,Comp,7.92,-1,1,-1,1,1,-1,-1,-1,AND/IOT,E
152038,Comp,7.9,1,1,-1,1,1,-1,-1,-1,AND/IOT,E
152087,Comp,7.98,-1,1,-1,1,1,-1,-1,-1,AND/IOT,E
141691,Comp,8.7,-1,-1,-1,-1,1,-1,-1,-1,OT,E
141009,Comp,8.04,-1,1,-1,1,1,-1,-1,-1,AND/IOT,E
141415,Electronics and telecommunication,9.51,1,-1,-1,-1,-1,-1,-1,-1,EM/SP/CM,E
152048,Electronics and telecommunication,8.28,-1,-1,1,-1,1,1,-1,-1,AND/IOT,E
131810,Electronics and telecommunication,8.26,-1,-1,1,-1,-1,1,-1,-1,MARK,E
152054,Electronics and telecommunication,7.84,-1,-1,1,-1,1,1,-1,-1,AND/IOT,E
141406,Electronics and telecommunication,7.9,-1,1,1,-1,1,-1,-1,-1,AND/IOT,E
152025,Electronics and telecommunication,7.88,-1,-1,1,-1,1,1,-1,-1,AND/IOT,E
141341,Electronics and telecommunication,7.9,-1,-1,1,-1,1,-1,-1,-1,RS,E
141013,Electronics and telecommunication,7.84,-1,-1,1,1,-1,1,-1,-1,EM/SP/CM,E
141025,Electronics and telecommunication,7.85,-1,-1,1,-1,1,1,-1,-1,OT,E
1471791,Electronics and telecommunication,7.94,-1,-1,1,-1,1,1,-1,-1,AND/IOT,E
141368,Comp,8.9,1,-1,-1,-1,1,-1,-1,-1,WB/SB,C
141789,Comp,8.93,1,-1,-1,-1,1,1,-1,-1,WB/SB,C
141147,Comp,8.84,1,-1,-1,-1,1,-1,-1,-1,WB/SB,C
141643,Comp,8.92,1,-1,-1,1,-1,1,-1,-1,OT,C
141135,Comp,8.86,1,-1,-1,1,1,-1,-1,-1,WB/SB,C
141315,Comp,8.94,1,1,-1,-1,1,-1,-1,-1,ML/AI,C
141389,Comp,7.9,-1,-1,1,1,-1,-1,-1,-1,RS,C
152142,Comp,8.34,1,1,-1,-1,-1,-1,-1,-1,ML/AI,C
141332,Comp,8.86,1,-1,-1,-1,1,-1,-1,-1,OT,C
141433,Comp,8.34,1,1,-1,-1,-1,-1,-1,-1,ML/AI,C
141590,Comp,7.9,-1,-1,1,1,-1,-1,-1,-1,WB/SB,C
141782,Comp,9.4,1,1,-1,1,1,-1,-1,-1,MARK,C
141345,Comp,8.96,1,1,-1,1,1,1,-1,-1,WB/SB,C
141299,Comp,8.92,1,1,-1,-1,1,-1,-1,-1,WB/SB,C
141257,Comp,9.04,-1,-1,-1,-1,1,-1,-1,-1,RS,C
141148,Comp,8.92,1,-1,-1,-1,1,-1,-1,-1,WB/SB,C
141711,Comp,8.32,1,-1,-1,1,1,-1,-1,-1,AND/IOT,C
141565,Comp,8.88,1,-1,-1,1,1,-1,-1,-1,WB/SB,C
