GR  Number,Branch ?,CPI,ML/DL/DA,AI/BC/DM,VLSI/SP/COMMUNICATION,IMAGEPRO/EMBEDDED,IOT/ANDROID,RESEARCH,TOM/MECH,Gears/GT,Domain of Internship,Class of Company
141152,Instrumentation,8.82,1,-1,-1,1,1,-1,-1,-1,OT,C
141755,Instrumentation,8.9,1,-1,1,1,1,-1,-1,-1,ML/AI,C
141089,Instrumentation,9,1,-1,-1,1,1,-1,1,-1,OT,C
141142,Instrumentation,8.32,-1,1,1,1,1,-1,-1,-1,WB/SB,D
141156,Instrumentation,8.38,-1,1,-1,-1,1,-1,-1,-1,AND/IOT,D
141199,Instrumentation,8.26,1,1,-1,-1,1,1,-1,-1,WB/SB,D
141579,Instrumentation,7.58,-1,-1,1,-1,-1,-1,1,-1,MECH,E
152115,Instrumentation,8.1,-1,-1,1,1,-1,1,-1,-1,EM/SP/CM,E
141328,Instrumentation,8.2,1,-1,1,-1,1,-1,1,-1,OT,E
152084,Instrumentation,8.18,1,-1,1,1,-1,-1,1,-1,MECH,E
152049,Instrumentation,8.22,1,1,1,-1,1,-1,-1,-1,WB/SB,E
141352,Instrumentation,8.28,-1,-1,1,1,1,-1,-1,-1,ML/AI,E
152042,Instrumentation,8.3,1,1,1,-1,1,-1,-1,-1,ML/AI,E
141729,Instrumentation,8.08,-1,-1,-1,1,-1,-1,1,-1,OT,E
152099,Instrumentation,8.24,1,-1,1,1,1,-1,-1,-1,AND/IOT,E
141254,Instrumentation,8.78,-1,1,1,1,1,-1,-1,-1,ML/AI,E
141391,Instrumentation,8.8,-1,1,1,1,1,-1,-1,-1,ML/AI,E
141536,Instrumentation,8.38,1,-1,-1,-1,-1,-1,-1,-1,ML/AI,E
141310,Instrumentation,7.06,1,-1,1,-1,-1,-1,-1,-1,OT,F
141375,Instrumentation,7.39,-1,-1,1,1,-1,-1,1,-1,MECH,F
141475,Instrumentation,7.67,-1,-1,1,1,1,-1,-1,-1,AND/IOT,F
141261,Instrumentation,7.78,-1,-1,1,-1,1,-1,-1,-1,AND/IOT,F
141016,Instrumentation,7.76,-1,-1,-1,1,1,-1,-1,-1,AND/IOT,F
152008,Instrumentation,7.64,1,-1,1,-1,-1,-1,-1,-1,ML/AI,F
141244,Instrumentation,7.8,-1,-1,-1,1,1,-1,-1,-1,RS,F
141723,Instrumentation,8.6,-1,-1,-1,1,1,-1,-1,-1,AND/IOT,F
141024,Instrumentation,8.45,1,-1,1,1,1,1,-1,-1,AND/IOT,F
141117,Instrumentation,8.54,-1,-1,-1,1,1,-1,-1,-1,EM/SP/CM,F
131426,Instrumentation,6.67,-1,-1,-1,-1,1,1,-1,-1,NO,F
152120,Instrumentation,7.32,-1,-1,1,1,-1,-1,1,-1,AND/IOT,F
