GR Number,Branch ?,CPI,ML/DL/DA,AI/BC/DM,VLSI/SP/Comm,IP/Embed,IoT/Android,Research,Mechanical,MEch2,Domain of Internship,Class
141427,IT,9.05,1,1,-1,1,1,-1,-1,-1,OT,A
141184,IT,9.2,1,-1,-1,-1,1,1,-1,-1,OT,B
152020,IT,8.4,-1,-1,-1,-1,-1,1,-1,-1,RS,C
152107,IT,8.2,1,-1,-1,-1,1,-1,-1,-1,ML/AI,C
141329,IT,8.88,1,1,-1,-1,1,1,-1,-1,ML/AI,C
141137,IT,9.09,1,-1,-1,1,1,-1,-1,-1,ML/AI,C
141086,IT,8.03,-1,1,1,1,1,1,-1,-1,OT,C
141192,IT,8.9,1,-1,-1,-1,1,-1,-1,-1,ML/AI,C
141077,IT,9,1,1,-1,-1,1,-1,-1,-1,AND/IOT,C
141205,IT,9.1,1,-1,-1,1,1,-1,-1,-1,ML/AI,C
141428,IT,9.1,1,1,-1,-1,1,-1,-1,-1,ML/AI,C
141819,IT,9.1,1,1,-1,-1,1,-1,-1,-1,ML/AI,C
141340,IT,8.72,1,1,-1,-1,-1,-1,-1,-1,WB/SB,D
141381,IT,8.57,1,1,-1,-1,-1,-1,-1,-1,WB/SB,D
141296,IT,7.67,1,1,-1,1,-1,-1,-1,-1,WB/SB,D
152131,IT,7.5,1,1,-1,1,-1,-1,-1,-1,WB/SB,D
141819,IT,7.74,-1,1,-1,-1,-1,-1,-1,-1,ML/AI,D
152020,IT,8.72,1,1,-1,-1,1,-1,-1,-1,OT,D
141656,IT,8.58,1,1,-1,-1,1,-1,-1,-1,WB/SB,D
141750,IT,9.08,-1,-1,-1,1,1,-1,-1,-1,WB/SB,D
141529,IT,8.6,1,1,-1,-1,1,-1,-1,-1,AND/IOT,D
141093,IT,8.64,1,1,-1,-1,1,-1,-1,-1,OT,D
152014,IT,9.4,-1,1,-1,-1,1,-1,-1,-1,WB/SB,D
141557,IT,6.9,1,-1,1,1,1,-1,-1,-1,AND/IOT,E
141466,IT,8.4,1,-1,-1,1,-1,-1,-1,-1,Other,E
141124,IT,7.14,1,1,-1,1,1,1,-1,-1,AND/IOT,F
141724,IT,7.14,1,-1,-1,-1,-1,-1,-1,-1,WB/SB,F
141346,IT,8.14,1,-1,-1,1,1,-1,-1,-1,NO,F
141814,IT,8.14,1,-1,-1,1,1,-1,-1,-1,AND/IOT,F
141213,IT,8.7,-1,-1,-1,1,1,-1,-1,-1,EM/SM/CM,F
141476,IT,7.9,1,1,-1,-1,1,-1,-1,-1,AND/IOT,F
152100,IT,8.1,1,-1,-1,1,-1,-1,-1,-1,AND/IOT,F
152142,IT,7.8,1,-1,-1,1,1,-1,-1,-1,AND/IOT,F
