GR,BRANCH,CPI,ML,AI,EM,IP,RS,MECH,sdff,fd,sdf,CLASs
141653,Mechanical,9.09,-1,-1,-1,1,-1,1,1,-1,MECH,B
141534,Mechanical,9.3,-1,-1,-1,-1,-1,-1,1,-1,MECH,B
141281,Mechanical,8.75,-1,-1,-1,-1,-1,-1,1,1,OT,B
141477,Mechanical,9.46,-1,1,-1,-1,-1,1,1,-1,RS,B
131653,Mechanical,9.5,-1,-1,-1,-1,-1,1,1,-1,OT,B
141649,Mechanical,9.33,-1,-1,-1,-1,-1,1,1,-1,ML/AI,B
141221,Mechanical,9.45,-1,1,-1,-1,-1,1,-1,-1,ML/AI,B
141496,Mechanical,9.1,1,1,-1,-1,-1,1,1,-1,MARK,B
141100,Mechanical,9.1,1,1,-1,-1,-1,1,1,1,MARK,B
141215,Mechanical,9.02,-1,1,-1,-1,-1,1,1,-1,MECH,B
141811,Mechanical,8.99,-1,1,-1,-1,-1,1,1,-1,MECH,B
152046,Mechanical,9.38,-1,1,-1,-1,-1,1,1,1,NO,B
131755,Mechanical,9.5,-1,1,-1,1,-1,-1,1,-1,ML/AI,B
152065,Mechanical,9.5,-1,-1,-1,-1,-1,-1,1,-1,MECH,B
141026,Mechanical,9.21,-1,1,-1,-1,-1,1,1,-1,RS,B
141203,Mechanical,9.14,-1,1,-1,-1,-1,1,-1,-1,RS,B
141703,Mechanical,9.05,1,1,-1,-1,-1,-1,-1,-1,NO,B
141434,Mechanical,9.01,-1,-1,-1,-1,1,-1,-1,1,ML/AI,C
121447,Mechanical,8.3,-1,-1,-1,-1,-1,-1,1,1,MARK,C
152018,Mechanical,8.32,-1,-1,-1,-1,1,-1,-1,-1,MARK,C
141260,Mechanical,8.67,-1,-1,1,-1,1,-1,-1,1,MARK,C
152044,Mechanical,9.2,-1,-1,1,-1,1,-1,1,-1,MARK,C
141731,Mechanical,9.12,1,-1,-1,-1,1,1,-1,1,RS,C
152145,Mechanical,8.73,-1,-1,-1,-1,1,-1,1,1,MECH,C
141445,Mechanical,8.52,-1,-1,-1,-1,1,-1,-1,1,MARK,C
141035,Mechanical,8.81,-1,-1,-1,-1,-1,-1,1,1,MECH,C
141042,Mechanical,8.56,-1,-1,-1,-1,1,-1,-1,1,MARK,C
141037,Mechanical,8.72,1,-1,-1,-1,1,-1,-1,1,OT,C
141280,Mechanical,8.69,1,-1,-1,-1,-1,-1,-1,1,MARK,C
141074,Mechanical,8.99,-1,-1,-1,-1,1,1,-1,-1,RS,C
141317,Mechanical,8.52,1,-1,-1,-1,1,-1,-1,1,ML/AI,C
141206,Mechanical,8.92,-1,-1,-1,-1,-1,-1,1,1,MARK,C
141589,Mechanical,9.7,-1,-1,-1,-1,-1,-1,1,-1,MECH,D
141029,Mechanical,8.99,-1,-1,-1,1,-1,-1,-1,-1,NO,D
141609,Mechanical,8.9,-1,-1,-1,1,-1,-1,1,-1,MARK,D
141699,Mechanical,9.26,1,-1,-1,1,-1,1,1,-1,MARK,D
